file,filename,category,extension,size_mb,rows,columns,column_names,sha256,status,error
outputs\tables\manual_evaluation_baseline_vs_finetuned_template.csv,manual_evaluation_baseline_vs_finetuned_template.csv,baseline,.csv,0.0132,50,12,sample_id | pashto_source | english_reference | baseline_prediction | finetuned_prediction | better_output_baseline_or_finetuned | meaning_preservation_score_1_to_5 | fluency_score_1_to_5 | completeness_score_1_to_5 | named_entity_correct_yes_no | main_error_type | manual_comment,407b9b2f2bd8a937d9f0fb776daf1a94b28f695a87c24f925e7f0bef0815d4e7,success,
outputs\tables\manual_evaluation_template.csv,manual_evaluation_template.csv,unclassified,.csv,0.0009,50,13,id | pashto | reference_english | model_english | direct_hindi | pivot_hindi | meaning_score_1_to_5 | grammar_score_1_to_5 | fluency_score_1_to_5 | completeness_score_1_to_5 | hindi_naturalness_1_to_5 | error_type | remarks,ceb0dda5f05bad85b5826d29529c07e3716f07277ce6a52cf752f1bb1949a576,success,
outputs\tables\model_comparison_plan.csv,model_comparison_plan.csv,unclassified,.csv,0.0003,5,7,experiment | model | dataset | bleu | chrf | avg_time_sec | status,a1ae15774207e0e368c286a14372e5260c514d323ccf868e631122c3fbad6c61,success,
outputs\tables\remaining_checkpoint_comparison.csv,remaining_checkpoint_comparison.csv,remaining-experiments,.csv,0.001,8,6,model | samples | BLEU | chrF | score_file | model_short,480a72d5a59618e92855296c058428a676b2c526b60bc1e8007d076ad77460a2,success,
outputs\tables\remaining_direct_vs_pivot_hindi.csv,remaining_direct_vs_pivot_hindi.csv,remaining-experiments,.csv,0.0052,10,12,pashto | english | source | manual_quality | comment | pivot_english | direct_hindi | pivot_hindi | manual_better_direct_or_pivot | manual_hindi_fluency_score_1_to_5 | manual_meaning_preservation_score_1_to_5 | manual_comment,4ad78975f3ecd6225ffc47541483398b07c96c286ae861998e76bbda538d66e5,success,
outputs\tables\remaining_manual_scoring_template.csv,remaining_manual_scoring_template.csv,remaining-experiments,.csv,0.0131,50,12,sample_id | pashto_source | english_reference | baseline_prediction | finetuned_prediction | better_output | meaning_score_1_to_5 | fluency_score_1_to_5 | completeness_score_1_to_5 | named_entity_correct_yes_no | main_error_type | comment,bc8b1950704d8c76ce06ad31998b005bbd5f96f015e5691b064b7d563937dc9b,success,
outputs\tables\remaining_semantic_lora_8000_predictions.csv,remaining_semantic_lora_8000_predictions.csv,"semantic-filtered, predictions, lora, remaining-experiments",.csv,0.0224,100,6,pashto | english | source | manual_quality | comment | prediction,dc756254f7135fe8e1891987c3c8223ea3ab6caca4a0f0baf4bac42bf430581c,success,
outputs\tables\remaining_work_progress.csv,remaining_work_progress.csv,remaining-experiments,.csv,0.0001,5,2,task | completion,fb6414040da038566433d781fd35c84842d0c8fa4b33b0047f4741218ee2f4fa,success,
outputs\tables\remaining_work_status.csv,remaining_work_status.csv,remaining-experiments,.csv,0.0004,5,3,remaining_work | status | priority,26aba22e53f858959522ba89dc1af94adcaeace089ec8a14c758d01d5c6172dd,success,
outputs\tables\remaining_work_updated_status.csv,remaining_work_updated_status.csv,remaining-experiments,.csv,0.0002,7,2,task | completion,c8f23dc80f8374ab13cd77f6e09f25670ce7d624f7e5a291b4ef51666d562aac,success,
outputs\tables\research_automatic_diagnostics.csv,research_automatic_diagnostics.csv,unclassified,.csv,0.0003,3,8,model | samples | mean_length_ratio | number_mismatch_rate_percent | length_outlier_rate_percent | repetition_alert_rate_percent | empty_output_rate_percent | exact_reference_match_percent,a63305e75e80ba121165932548f6c2f4da1639b475ea94fdcc1bccd98be7f269,success,
outputs\tables\research_automatic_metrics.csv,research_automatic_metrics.csv,unclassified,.csv,0.0002,3,7,model | samples | BLEU | chrF++ | TER | COMET | COMETKiwi_QE,81d4218d87e88c77a12665d442f2258c6788784f2a3957046e76f9c622a93ed8,success,
outputs\tables\research_human_evaluation_filled.csv,research_human_evaluation_filled.csv,unclassified,.csv,0.0176,50,23,sample_id | pashto_source | english_reference | system_a_output | system_b_output | system_c_output | best_system | adequacy_a_1_to_5 | adequacy_b_1_to_5 | adequacy_c_1_to_5 | fluency_a_1_to_5 | fluency_b_1_to_5 | fluency_c_1_to_5 | missing_information_a | missing_information_b | missing_information_c | hallucination_a | hallucination_b | hallucination_c | named_entity_error_a | named_entity_error_b | named_entity_error_c | comments,f45319686b99e3a69568e339ae8549383c4c091da143f13cd4b3390d11c32e34,success,
outputs\tables\research_human_evaluation_form.csv,research_human_evaluation_form.csv,unclassified,.csv,0.0171,50,17,sample_id | pashto_source | english_reference | system_a_output | system_b_output | system_c_output | best_system | adequacy_a_1_to_5 | adequacy_b_1_to_5 | adequacy_c_1_to_5 | fluency_a_1_to_5 | fluency_b_1_to_5 | fluency_c_1_to_5 | missing_information | hallucination | named_entity_error | comments,5cb423a343c629d7d3df79f0b93c3c70b092bb6dadccb9e4a59637a34fc4ec96,success,
outputs\tables\research_human_evaluation_key.csv,research_human_evaluation_key.csv,unclassified,.csv,0.0051,50,2,sample_id | _hidden_mapping,38d83745bcd5dfb75d50bd33d62f0e8606d31f19b4e1decd9a7ae26b204c2c80,success,
outputs\tables\research_metric_significance.csv,research_metric_significance.csv,unclassified,.csv,0.0007,8,8,metric | baseline | comparison_model | mean_difference_model_minus_baseline | bootstrap_95_ci_low | bootstrap_95_ci_high | p_value | significant_at_0.05,a762ad6aa7fdecb7cbe4bd2314d8c68d6e8a3dd63a407fa704baa53e0dee230d,success,
outputs\tables\research_pairwise_wins.csv,research_pairwise_wins.csv,unclassified,.csv,0.0011,12,11,metric | system_a | system_b | system_a_wins | system_b_wins | ties | mean_difference_b_minus_a | difference_95_ci_low | difference_95_ci_high | p_value | significant_at_0.05,0e675970c00f292ef72443538f735f57b94ad6e76e96fe9302fbbb775d454985,success,
outputs\tables\research_predictions_combined.csv,research_predictions_combined.csv,predictions,.csv,0.0334,100,5,source | reference | baseline_prediction | original_lora_prediction | semantic_lora_prediction,679829ecccfd4ce9060530bc3f0bcac8735c2eb58c43bb8aaf0e2355a674d367,success,
outputs\tables\research_progress.csv,research_progress.csv,unclassified,.csv,0.0002,9,2,task | progress_percent,e2f35bcabc758bf1e0e3bf750c14b4acd4c11573c3a8b9cf862bd983e9c92357,success,
outputs\tables\research_sentence_scores.csv,research_sentence_scores.csv,unclassified,.csv,0.0521,100,18,sample_id | source | reference | baseline_nllb_prediction | baseline_nllb_sentence_bleu | baseline_nllb_sentence_chrf | baseline_nllb_sentence_ter | baseline_nllb_comet | original_lora_prediction | original_lora_sentence_bleu | original_lora_sentence_chrf | original_lora_sentence_ter | original_lora_comet | semantic_lora_prediction | semantic_lora_sentence_bleu | semantic_lora_sentence_chrf | semantic_lora_sentence_ter | semantic_lora_comet,a9cd2263f7372893fe7f0d45fae641b5196fdd9a1bd666bbb808665e6c7c7065,success,
outputs\tables\semantic_filtered_top20_preview.csv,semantic_filtered_top20_preview.csv,"semantic-filtered, filtered",.csv,0.0113,20,3,pashto | english | semantic_similarity,9c309c345f54c21ef457e35e6477358ca90f78dbba7be654ec227c8cb26386f5,success,
outputs\tables\semantic_filtering_summary.csv,semantic_filtering_summary.csv,semantic-filtered,.csv,0.0002,1,8,input_file | total_rows_scored | filtered_rows_saved | mean_similarity | median_similarity | min_similarity | max_similarity | output_file,294dd3bbcd891f31c48cf0119a0dfea700a2d3c165cea071e0c638148eb8dc81,success,
outputs\tables\semantic_similarity_scores.csv,semantic_similarity_scores.csv,semantic-filtered,.csv,4.9578,10000,3,pashto | english | semantic_similarity,4be6d3287ae9bfda9c6982cb0065127bf191ed86988189dc8988a019efccb794,success,
outputs\tables\train_val_test_split.csv,train_val_test_split.csv,"training, test",.csv,0.0001,3,2,split | rows,084712cd5940d2bf13efdd4f93d981ab29801e6e3dc376dd7364dae44f1d7d4c,success,
outputs\tables\week3_clean_test_baseline_scores.csv,week3_clean_test_baseline_scores.csv,"test, cleaned, baseline",.csv,0.0004,3,7,model | dataset | direction | samples | BLEU | chrF | avg_time_per_sentence_sec,4d3c1fadee815a6ac4cb7d75ecf3fb2badea32808e7ddbeb031702de69ec57cb,success,
outputs\tables\week3_clean_test_baseline_scores_copy.csv,week3_clean_test_baseline_scores_copy.csv,"test, cleaned, baseline",.csv,0.0004,3,7,model | dataset | direction | samples | BLEU | chrF | avg_time_per_sentence_sec,896962a6291aae535d3bf8b4d08314511a8793e29ab68931206d4d72537bd12f,success,
outputs\tables\week3_clean_test_metric_plot_data.csv,week3_clean_test_metric_plot_data.csv,"test, cleaned",.csv,0.0001,4,2,metric | value,c2c31a4ff391b9450d1b049b6a71f5b16a57d9e886d07a14ec44c01b0534c77f,success,
outputs\tables\week3_dataset_files_summary.csv,week3_dataset_files_summary.csv,unclassified,.csv,0.0002,3,4,dataset | file | rows | columns,5a05488766a3a0ccd4335bf6f4ad0c944b894738d88be19606e53f332e883261,success,
outputs\tables\week3_error_type_counts.csv,week3_error_type_counts.csv,unclassified,.csv,0.0,1,2,error_type | count,fb7e348c69716966d447f38ef94556a9d788d1c91d6522311b563ca47bd4d774,success,
outputs\tables\week3_final_clean_test_scores.csv,week3_final_clean_test_scores.csv,"test, cleaned",.csv,0.0004,3,7,model | dataset | direction | samples | BLEU | chrF | avg_time_per_sentence_sec,896962a6291aae535d3bf8b4d08314511a8793e29ab68931206d4d72537bd12f,success,
outputs\tables\week3_final_dataset_summary.csv,week3_final_dataset_summary.csv,unclassified,.csv,0.0002,3,4,file | purpose | rows | columns,0492dec43e6beed96cab578bfaccc25274f95f327721a808d48178bb1bb2d827,success,
outputs\tables\week3_final_error_type_counts.csv,week3_final_error_type_counts.csv,unclassified,.csv,0.0,1,2,error_type | count,fb7e348c69716966d447f38ef94556a9d788d1c91d6522311b563ca47bd4d774,success,
outputs\tables\week3_final_score_plot_data.csv,week3_final_score_plot_data.csv,unclassified,.csv,0.0001,4,2,metric | value,c2c31a4ff391b9450d1b049b6a71f5b16a57d9e886d07a14ec44c01b0534c77f,success,
outputs\tables\week3_final_status.csv,week3_final_status.csv,unclassified,.csv,0.0002,7,2,task | completion,00acaff89378c97ec29f261afb25e5241ed66fca852247360613e638a96474f3,success,
outputs\tables\week3_high_quality_subset_summary.csv,week3_high_quality_subset_summary.csv,unclassified,.csv,0.0001,3,2,stage | rows,edef037f0f570f8b557f5aae864005b0c8e3a5af25725a56606a347595ea0505,success,
outputs\tables\week3_manual_error_analysis_clean_test.csv,week3_manual_error_analysis_clean_test.csv,"test, cleaned",.csv,0.0221,50,12,id | pashto | reference_english | english_prediction | hindi_direct_prediction | hindi_pivot_prediction | english_score_1_to_5 | hindi_direct_score_1_to_5 | hindi_pivot_score_1_to_5 | best_hindi_method | error_type | comment,31ccffde81ab2d3be2f6da77cefb5eb48a18d5ae90b67160046d2300029c87a3,success,
outputs\tables\week3_status_summary.csv,week3_status_summary.csv,unclassified,.csv,0.0002,7,2,task | completion_percent,957109afff09f307eb787b662a7128774156be8be249ce0300aaf6b33815d958,success,
outputs\tables\week4_baseline_predictions.csv,week4_baseline_predictions.csv,"predictions, baseline",.csv,0.0222,100,6,pashto | english | source | manual_quality | comment | prediction,75b57f06d310fa538c2956124ac3bf4242a7e1dc1c7e4dd5ba049b2794ad5cb1,success,
outputs\tables\week4_lora_1000_predictions.csv,week4_lora_1000_predictions.csv,"predictions, lora",.csv,0.0222,100,6,pashto | english | source | manual_quality | comment | prediction,0cb7b463f0425d8d4b728a23df8a236cf6570b288894ba71719f7df68cc8f3fc,success,
outputs\tables\week4_lora_100_predictions.csv,week4_lora_100_predictions.csv,"predictions, lora",.csv,0.0222,100,6,pashto | english | source | manual_quality | comment | prediction,da6d3c23b484ba66bfe0d2a9a21a1e4dad3b038f9e5b6b471abefc248857b6ad,success,
outputs\tables\week4_lora_10k_predictions.csv,week4_lora_10k_predictions.csv,"predictions, lora",.csv,0.0224,100,6,pashto | english | source | manual_quality | comment | prediction,ca82a71394217e78bb3f66f83c8d5b72a4decc5a5f9277a7d2f708f13ee14504,success,
outputs\tables\week4_lora_20_predictions.csv,week4_lora_20_predictions.csv,"predictions, lora",.csv,0.0222,100,6,pashto | english | source | manual_quality | comment | prediction,75b57f06d310fa538c2956124ac3bf4242a7e1dc1c7e4dd5ba049b2794ad5cb1,success,
outputs\tables\week4_lora_3000_predictions.csv,week4_lora_3000_predictions.csv,"predictions, lora",.csv,0.0221,100,6,pashto | english | source | manual_quality | comment | prediction,47f89387bae6ba1291f82475eccbc02f87c7b01d977c800de18e266cff2d91cb,success,
outputs\tables\week4_lora_500_predictions.csv,week4_lora_500_predictions.csv,"predictions, lora",.csv,0.0222,100,6,pashto | english | source | manual_quality | comment | prediction,16524ec98b3edd6bd78ef87e4b7a0f196e968fba557ebc80727389a9601b0671,success,
outputs\tables\week4_model_comparison.csv,week4_model_comparison.csv,unclassified,.csv,0.0003,7,4,model | samples | BLEU | chrF,1752879a4a62042f57e4b9d41e04af165f69130f702a3004ce876a804342be35,success,
outputs\tables\week4_scores_facebook_nllb-200-distilled-600M.csv,week4_scores_facebook_nllb-200-distilled-600M.csv,unclassified,.csv,0.0001,1,4,model | samples | BLEU | chrF,188a952fe85224e38cdc2707892677cbb5b2934cc0c25476e7cd89e85da06703,success,
outputs\tables\week4_scores_models_nllb_lora_10k_cpu.csv,week4_scores_models_nllb_lora_10k_cpu.csv,lora,.csv,0.0001,1,4,model | samples | BLEU | chrF,14028aa0feca08cf4048421429239cefd661e8bd35bfd9db5a07699687e41444,success,
outputs\tables\week4_scores_models_nllb_lora_semantic_filtered_8000.csv,week4_scores_models_nllb_lora_semantic_filtered_8000.csv,"semantic-filtered, lora, filtered",.csv,0.0001,1,4,model | samples | BLEU | chrF,c990f5c567700fdae5904adcdb7471bb7e4e147f3e864c1b7795b7fb248769f3,success,
outputs\tables\week4_scores_models_nllb_lora_trial_100.csv,week4_scores_models_nllb_lora_trial_100.csv,lora,.csv,0.0001,1,4,model | samples | BLEU | chrF,41dbd06da41be8512bc2c33b31b53be9f91252f465a59b81c3a8b7aa81bb2e0f,success,
outputs\tables\week4_scores_models_nllb_lora_trial_1000.csv,week4_scores_models_nllb_lora_trial_1000.csv,lora,.csv,0.0001,1,4,model | samples | BLEU | chrF,c4679d7d64867e4623e4def45c3d0ab45affe1b53c4fcb2f8adad0e20a57b3ed,success,
outputs\tables\week4_scores_models_nllb_lora_trial_20.csv,week4_scores_models_nllb_lora_trial_20.csv,lora,.csv,0.0001,1,4,model | samples | BLEU | chrF,de9b99862c70196afcf9f0b24e5a20c12e0fa513145ca62d84c5692e24685f06,success,
outputs\tables\week4_scores_models_nllb_lora_trial_3000.csv,week4_scores_models_nllb_lora_trial_3000.csv,lora,.csv,0.0001,1,4,model | samples | BLEU | chrF,7670a27cfea2ae1bb9891e858eedfd6f43866ad5680238ccdb4bd06088e66514,success,
outputs\tables\week4_scores_models_nllb_lora_trial_500.csv,week4_scores_models_nllb_lora_trial_500.csv,lora,.csv,0.0001,1,4,model | samples | BLEU | chrF,849bbe439e47953e1e791619f35b35c9d1d0b5af31479536e57a0a90da37e0bf,success,
outputs\tables\week5_filtering_overview.csv,week5_filtering_overview.csv,unclassified,.csv,0.0001,2,2,stage | rows,85d90482707fbd56fbd8f2fb59ef5d1f080a2c52fc474cd04e77d2a1af4bf62d,success,
outputs\tables\week5_manual_evaluation_template.csv,week5_manual_evaluation_template.csv,unclassified,.csv,0.0132,50,12,sample_id | pashto_source | english_reference | baseline_prediction | finetuned_prediction | better_output_baseline_or_finetuned | meaning_preservation_score_1_to_5 | fluency_score_1_to_5 | completeness_score_1_to_5 | named_entity_correct_yes_no | main_error_type | manual_comment,407b9b2f2bd8a937d9f0fb776daf1a94b28f695a87c24f925e7f0bef0815d4e7,success,
outputs\tables\week5_semantic_filtering_summary.csv,week5_semantic_filtering_summary.csv,semantic-filtered,.csv,0.0002,1,8,input_file | total_rows_scored | filtered_rows_saved | mean_similarity | median_similarity | min_similarity | max_similarity | filtered_output,85846a6aedba17889ddb5534feed2f5f559669883004395f116d0e43ee2e7c25,success,
outputs\tables\week5_semantic_similarity_scores.csv,week5_semantic_similarity_scores.csv,semantic-filtered,.csv,4.9578,10000,3,pashto | english | semantic_similarity,4be6d3287ae9bfda9c6982cb0065127bf191ed86988189dc8988a019efccb794,success,
outputs\tables\week5_similarity_score_stats.csv,week5_similarity_score_stats.csv,unclassified,.csv,0.0001,4,2,metric | score,872fe993b2bc575e2b36aa4a96f297122eda57b2c2520557a6447a086d780ed3,success,
outputs\tables\week5_top20_semantic_filtered_preview.csv,week5_top20_semantic_filtered_preview.csv,"semantic-filtered, filtered",.csv,0.0113,20,3,pashto | english | semantic_similarity,9c309c345f54c21ef457e35e6477358ca90f78dbba7be654ec227c8cb26386f5,success,
outputs\tables\week5_top_bottom_similarity_examples.csv,week5_top_bottom_similarity_examples.csv,unclassified,.csv,0.0108,20,4,pashto | english | semantic_similarity | bucket,faf19a012be6145d9a7ccf807712a30e9de28398d766951dc68a55d26c2eeb97,success,
outputs\tables\week5_work_status.csv,week5_work_status.csv,unclassified,.csv,0.0002,7,2,task | completion,c8f23dc80f8374ab13cd77f6e09f25670ce7d624f7e5a291b4ef51666d562aac,success,
