pashto,english,semantic_similarity,bucket
دآوا دخبرګزاری په بیان سره، دروسیی نظامی ځواکونه دیو مشترک نظامی مانور دترسره کولو لپاره دپاکستان سره دی هیواد ته وارد سو.,"His past reputation as a playboy — as well as his marriage to and divorce from socialite Jemima Goldsmith, daughter of British billionaire James Goldsmith — added to his mystique.",-0.2038373,bottom_low_similarity
دوی سر راایستلی خپل نفس تازه کوي ژر به نارې سي سر دننه تفریح ده ختمه,It was said that FATA which comprises of Seven Agencies and Six FRs is completely neglected and neither central government extends its help to its people and nor FATA Secretariat.,-0.18470934,bottom_low_similarity
د دې لپاره چې ورکوی بهرني هارډ ډرایو نه بڼول ګمراهۍ، تاسو بايد هغه ګامونه چې په لاندې ذکر له لارې ولاړ شي.,Install the Drive: Use an IDE / SATA data cable and a power connector to install the Hard Drive internally on your system.,-0.15502462,bottom_low_similarity
د امريكې په هوسټن ښار كښې د سخت باران او طوفان په نتيجه كښې د مړو شمېره 28 ته ورسېده,"INCHEON, South Korea, Sept 27 (APP): Pakistan, the Guangzhou 2010 Asian Games bronze medalist in Kabbadi event will be pitted against Thailand in their opening league match at Songdo Global University Gymnasium on Sunday.",-0.14241904,bottom_low_similarity
د هغه په وينا ځيني محصلين چې کله روسیې ته راځي د اقتصادي ستونزو له کبله يا بېرته هېواد ته ستنيږي يا هم د پيسو د نشتون له کبله غريبۍ ته مخه کوي چې درسونه هم ترې پاته کيږي.,"In the first full attempted audit of what he calls Britain's ""last imperial war"", Frank Ledwidge, author of Investment in Blood, published next week by Yale University Press, estimates British troops in Helmand have killed at least 500 non-combatants.",-0.13933542,bottom_low_similarity
همدارنګه د داخلي بې ځایه شویو د سروې په هکله خبرې وشوې او پرېکړه وشوه چې مالیې وزارت دې د یادې سروې د ترسره کولو لپاره مالي امکانات برابر کړي.,But Panorama has independently established that at least29 veterans took their own lives in 2012.,-0.13487592,bottom_low_similarity
ښاغلی سیدموسی عثمان د حاجی علی اکبر چی دی عزیزی بانک یو کوچنی سهمدار او مرستیال په پته چی کومی بی اثباته او لی تعصبه ډکی څرګندونی کړی د چا په خبره بی کڅوړی ډزی بولم او د خپل ژوند او سترګو لیدلی حال دی ښاغلی حاجی علی اکبر او د ده د کورنۍ په په لنډ ډول دوستانو ته وړاندی کوم..,It is the first time in the country’s history that numerous surveys in regards to presidential nominees’ popularity among potential voters are carried out. In the last few such surveys the two below mentioned candidates have stood on the top of the list.,-0.13456711,bottom_low_similarity
زه ډاډه یم چې ستاسو آرشیف ستاسو د سپي کیسې او وروستي فلمونو په مینځ کې لږترلږه دوه یا درې ځانګړي موضوعاتو په اړه د بلاګ پوسټونو سره ډک شوي.,I'm sure your Archives are packed full with blog posts about at least two or three niche topics in between your dog stories and the last movie you watched.,-0.13315114,bottom_low_similarity
اوس چې تاسو د خپل بټ الندې د بلاګنګ کولو ځینې تجربه لرئ، دا د وخت وخت دی چې په سړک وځورئ او د آزاد لیکلو کار پیل وکړئ. مخکې له دې چې تاسو پیل کړئ، دلته ځینې شیان په پام کې نیولو سره دي: کوم کنین ...,"Now that you’ve got some blogging experience under your belt, it’s time to hit the road and start looking for freelance writing work. Before you get started, here are some things to consider: What Kin…",-0.1329516,bottom_low_similarity
چک په داسې حال کې چې د احتساب زیاتولو لپاره لارې چارې تشریح کوي او په سوداګرۍ او ژوند کې خورا زیات اغیزمن کیږي.,"Why would I ask that? Because that is how the majority of us live. We play it safe by thinking we are incapable of pushing harder, faster, and higher than we are right now.",-0.13277176,bottom_low_similarity
