sample_id,pashto_source,english_reference,system_a_output,system_b_output,system_c_output,best_system,adequacy_a_1_to_5,adequacy_b_1_to_5,adequacy_c_1_to_5,fluency_a_1_to_5,fluency_b_1_to_5,fluency_c_1_to_5,missing_information,hallucination,named_entity_error,comments
15,يو بنسټيز PL / کيو ايل snippet (نومه د بنديز) او يا هم په يو شمېر مرمۍ وسیله په يو وخت په دار وځړول (د ساري په کيو ايل * Plus) يا,A PL / SQL malika bingehîn (block neqeydkirî) yan jî di cih de li hin tool shell Bakûr (raxîne. SQL * Plus) an,A basic PL/QL snippet (known as blocking) or hanging on a number of keystrokes at a time (known as SQL*Plus) or,A basic PL/QL snippet (name blocking) or hanging on a number of repair tools at a time (serial in QL*Plus) or,A basic PL/QL snippet (name of block) or hanging on a number of repair tools at a time (the entire QL*Plus) or,,,,,,,,,,,
16,ذخيره شما: $2.40 (60%),Bazic #2B Premium Wood Pencil - 12/Pack,Savings: $2.40 (60%),Savings: $2.40 (60%),Your savings: $2.40 (60%),,,,,,,,,,,
17,په ناروې کې ټول ماشومان د لس کلونو د زده کړې د تر لاسه کولو حق او دنده (مکلفیت) لري. همدارنګه ځوانان د ثانوي زده کړې حق لري.,"In Norway, all children have the right and obligation to ten years of schooling. Young people also have the right to upper secondary education.",All children in Norway have the right and duty to receive ten years of education. Also young people have the right to secondary education.,All children in Norway have the right to ten years of education and the obligation to do so. Youth also have the right to secondary education.,"In Norway, all children have the right to a ten-year education, as well as the right to secondary education.",,,,,,,,,,,
18,په جرمني کې کوم مسلکونه شته؟,How can I find a job in Germany?,What professions are there in Germany?,What professions are there in Germany?,What professions are there in Germany?,,,,,,,,,,,
19,ټول د نیپون هوايي شرکت (3 liveries),All Nippon Airways (3 liveries),All Nippon Airlines (3 liveries),All Nippon Airlines (3 liveries),All Nippon Airlines (3 liveries),,,,,,,,,,,
20,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum اصلي محتوا ته لاړشی,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum Skip to main content,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum go to original content,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum go to original content,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum go to the original content,,,,,,,,,,,
21,په انباؤن کې بازار موندنه یو غیر فعاله ستراتیژي ده چې تاسو ته تمه لري.,Inbound marketing is any passive strategy that attracts prospects to you.,Inbound marketing is a passive strategy that awaits you.,Inbound marketing is a passive strategy that awaits you.,Inbound marketing is a passive strategy that is expected of you.,,,,,,,,,,,
22,یوتلست 10A 10.0 ° E,SR: 27500 ksymb / S,Utilised 10A 10.0 ° E,Utilised 10A 10.0 ° E,Utilised 10A 10.0 ° E,,,,,,,,,,,
23,بریښنالیک کیدی شي ډیر وخت وي، خو چوپړ وي!,"Email can be a huge time-suck, but it doesn’t have to be!","Email can be time consuming, but it can be boring!","E-mail can be time consuming, but time consuming!","Email can be time consuming, but it can be boring!",,,,,,,,,,,
24,د کورس نوم: SCJA OCP جاوا SE 7 Programmer د روزنې او تصدیق کورس,Course name: CompTIA Security+ Certification Training,Course Name: SCJA OCP Java SE 7 Programmer Training and Certification Course,Course name: SCJA OCP Java SE 7 Programmer Training and Certification Course,Course Name: SCJA OCP Java SE 7 Programmer Training and Certification Course,,,,,,,,,,,
25,1-16 د د “”روزووډ Rosary”” 173 پايلې,1-16 of 173 results for “”Rosewood Rosary””,1-16 Results of the Rosary of Rosewood 173,1-16 Results of Rosary 173 of Rosary,1-16 Results of Rosary 173 of Rosary,,,,,,,,,,,
26,نیلي پرده کې تېروتنه,Lahenda väljastamine Arvuti +,Blue screen error,Error in blue screen,Error in blue screen,,,,,,,,,,,
27,پروژه کلينيک سعادت آباد,Supply luminaires of Sabzevaar governorship project,Project Clinic Saadatabad,Project Clinic Saadabad,Project Clinic Saadatabad,,,,,,,,,,,
28,۴۵۰ افغان زده کونکي په ټولو تحصیلي پړاؤنو کښې په ایران کښې ښوونځي ته ځي,Over 3.5 million Afghan Children Missing right to Education: Save the Children,450 Afghan students go to school in Iran in all academic stages,450 Afghan students go to school in Iran in all academic stages,450 Afghan students go to school in Iran in all academic stages,,,,,,,,,,,
29,د هند حیدرآباد جومات په کلینیک کښې د بېلابېلو دینونو منونکو نه ښه راغلاست,Young Australian Arbaeen Pilgrim Talks about How Everyone Is Attracted to Imam Hussein (AS),"In India, the Hyderabad mosque welcomes people of different faiths to the clinic.",Welcome Muslims of Diverse Religions to Hyderabad Mosque in India,Hyderabad mosque in India welcomes people of different faiths to the clinic,,,,,,,,,,,
30,ښونې او روزنې پوهنځی,Faculty of Social science,Teaching and Training Faculty,Teaching and Training Faculty,Teaching and Training Faculty,,,,,,,,,,,
31,HGH کلینیک تایلنډ - په بنکاک کې د درملتون څخه د انتقال جینتروپین,HGH Kit Thailand - kit of Genotropin pens from Pfizer in Bangkok,HGH Clinic Thailand - Transfer Genotropin from pharmacy in Bangkok,HGH Clinic Thailand - Transfer Genotropin from pharmacy in Bangkok,HGH Clinic Thailand - transfer genotropin from a pharmacy in Bangkok,,,,,,,,,,,
32,د نشتوالي توجیه لپاره د بریښناليک ټلیفوني نومبر نومبر 25th، 2018,"Email template to justify an absence November 25th, 2018","E-mail phone call to justify the absence November 25th, 2018","Email phone call for justification of absence November 25th, 2018","E-mail telephone for justification of absence November 25th, 2018",,,,,,,,,,,
33,Wondershare LiveBoot کمپيوټر چالان CD په اړه نور معلومات,Each solution takes you only 2 steps. It's quite easy.,Learn more about Wondershare LiveBoot computer driven CD,Learn more about Wondershare LiveBoot Computer Drive CD,More info on Wondershare LiveBoot Computer Drive CD,,,,,,,,,,,
34,د نوي کوریا سبک لوله پلیکا، د زړه قلف ...,Stainless Steel Jewelry New Design Pink Bow Bow...,"New Korean style type plaka, heart lock ...","New Korean style type plaka, heart lock ...","New Korean style plaka, heart lock ...",,,,,,,,,,,
35,Curator of Emirates Soil Museum Full-time أبريل ۲۳ ۲۰۱۸ يونيو ۱۸ ۲۰۱۸ ICBACSD-SMC-2018-003,Business Development Specialist Full-time Jan 31 2018 Mar 18 2018 ICBAPKM-BDS-2018-001,"Curator of Emirates Soil Museum Full-time April 23, 2018 June 18, 2018 ICBACSD-SMC-2018-003",Curator of Emirates Soil Museum Full-time 23 April 2018 18 June 2018 ICBACSD-SMC-2018-003,"Curator of Emirates Soil Museum Full-time April 23, 2018 June 18, 2018 ICBACSD-SMC-2018-003",,,,,,,,,,,
36,تناوب ظرفیت: 20 ټنه اعظمي,Rotation capacity 20 tons maximum,Turning capacity: 20 tonnes maximum,Turning capacity: 20 tonnes maximum,Turning capacity: 20 tonnes maximum,,,,,,,,,,,
37,جرګه کښې به د فاټا،خیبرپښتونخوااودبلوچستان د پښتون ضلعو خلکو ته د شرکت بلنه ورکولی شي,"However, while our commitments are firm on finding a negotiated settlement taking along all key stake holders, we do not wish to raise false hopes and expectations.","The meeting will invite people from PATA, Khyber Pakhtunkhwa and Peshawar districts to attend the meeting.","The assembly will be able to invite the people of the districts of Fata, Khyber Pakhtunkhwa and Baluchistan to join the company","The meeting will invite people from Peshawar district of Fateh, Khyber Pakhtunkhwa to attend the meeting.",,,,,,,,,,,
38,د ټاکل شوې غونډې په اړه تر اوسه پورې، ښاغلی اتو او ات به زما ځای بدل کړي او یو تفصيلي راپور واستوي.,"Concerning the meeting scheduled so far, Mr. So-and-so will replace me and send me a detailed report.","As far as the scheduled meeting is concerned, Mr. Eight and Eight will change my seat and send a detailed report.","On the scheduled meeting so far, Mr. Eight and Eight will change my seat and send a detailed report.","As far as the scheduled meeting is concerned, Mr. Eight and Eight will change my seat and send a detailed report.",,,,,,,,,,,
39,په افغانستان کې لوموړنی اسلامي بانک پرانستل شو,Afghan minerals in the crosshairs of Blackwater's Erik Prince,The first Islamic bank opened in Afghanistan,First Islamic Bank opened in Afghanistan,First Islamic Bank opened in Afghanistan,,,,,,,,,,,
40,PEX پایپ extrusion ماشین,Pvc Pipe Extruder Machine,PEX pipe extrusion machine,PEX pipe extrusion machine,PEX pipe extrusion machine,,,,,,,,,,,
41,اعظمي ریسایکل کول ، د پیسو مینځلو ماشینونه.,"Maximum Recycling,Money Making Machines.","Maximum recycling, money laundering machines.","Maximum recycling, money laundering machines.","Maximum recycling, money laundering machines.",,,,,,,,,,,
42,د ټولنیزې سولې بهیر د ښځو په مشري د ولایتي کميټو له لارې پلی کیږي,2. promoting mutual respect between men and women.,The social peace process is implemented through provincial committees led by women,The social peace process is carried out through provincial committees led by women,The social peace process is implemented through provincial committees led by women,,,,,,,,,,,
43,4 Min BGA او مايکرو BGA جګوالی او توپ حساب 0،008 په. (0.2mm) جګوالی، توپ حساب د 1000 څخه زیات,"4 Min BGA and Micro BGA pitch and ball counts 0.008 in. (0.2mm) pitch, ball count greater than 1000","4 Min BGA and Micro BGA accuracy and ball count 0.008 in. (0.2mm) accuracy, ball count greater than 1000","4 Min BGA and Micro BGA torque and ball account 0.008 in. (0.2mm) torque, ball account more than 1000","4 Min BGA and Micro BGA ball and ball account 0.008 in. (0.2mm) ball, ball account more than 1000",,,,,,,,,,,
44,د خراب کولیسټرول په کچه کې زیاتوالى، له دې امله، د سټروک یا د زړه حملې خطرونو تمرکز کوي,"An increase in the level of bad cholesterol, hence, spiking up the risks of strokes or heart attacks","Increased levels of bad cholesterol, therefore, focus on the risk of stroke or heart attack","Increased levels of bad cholesterol, therefore, focus on the risk of stroke or heart attack","Increased levels of bad cholesterol, therefore, focus on the risk of stroke or heart attack",,,,,,,,,,,
45,د وزير اعلیٰ سندهـ بيان په ضد به اېم کیو اېم,Air Chief Marshal Sohail Aman,"In addition, the Ministry of Foreign Affairs and the Ministry of Foreign Affairs of the Republic of Kazakhstan has issued a statement against the MQM.","In the meantime, we will be discussing the future of the country and the future of Afghanistan.",High-Secretary Sanda's statement against MQM,,,,,,,,,,,
46,ښه والی د معلوماتو په زیرمه زيانمن ټولو ډول دوتنې وځلیږي لکه د جدولونو، چارتونه، فورمولونه، تبصرې، انځورونه او داسې نور.,There are two modes of the program i.e. Wizard mode and the Standard mode which makes the program equally usable for all the users and therefore it is highly recommended.,"Improvement reduces the loss of data in all types of files such as tables, charts, formulas, comments, images, etc.","Improvement in the database will eliminate all types of files such as tables, charts, formulas, comments, images, etc.","Improvement in the database will eliminate all types of files such as tables, charts, formulas, comments, images and so on.",,,,,,,,,,,
47,څرخ د شګو مینځلو ماشین بیه,Wheel sand washing machine price,Wheel sand washing machine price,Wheel sand washing machine price,Wheel sand washing machine price,,,,,,,,,,,
48,Wood غاړکۍ Rosaries Wood غاړکۍ Rosaries,Wood Necklace Rosaries Wood Necklace Rosaries,Wood ribs Rosaries Wood ribs Rosaries,Wood Brace Rosaries Wood Brace Rosaries,Wood Brace Rosaries Wood Brace Rosaries,,,,,,,,,,,
49,تاسو کولای تل په Wondershare عکس راستنولو تکیه وکړو فوجی عکس بیرته څخه فوجی د ګڼياليزې کامرې او عکسونه بیرته. ...,"If you want to recover data from your hard drive, you might need to find and the local hard drive recovery service and let staff here to help you. ...",You can always rely on Wondershare Photo Recovery to recover images and images from Fuji Digital Camera. ...,You can always rely on Wondershare Photo Recovery to recover Fuji Photo from Fuji Digital Camera and photos. ...,You can always rely on Wondershare Photo Recovery to recover Fuji photos from Fuji digital cameras and photos. ...,,,,,,,,,,,
50,د مرستیال ژوند لیک د راجستر شویو سیاسی حزبونو لیست,Deputy Minister in Social Affairs - ‌Biography,List of registered political parties,List of registered political parties,List of registered political parties List of registered political parties,,,,,,,,,,,
