sample_id,pashto_source,english_reference,baseline_prediction,finetuned_prediction,better_output,meaning_score_1_to_5,fluency_score_1_to_5,completeness_score_1_to_5,named_entity_correct_yes_no,main_error_type,comment
16,نیلي پرده کې تېروتنه,Lahenda väljastamine Arvuti +,Blue screen error,Error in blue screen,,,,,,,
17,PEX پایپ extrusion ماشین,Pvc Pipe Extruder Machine,PEX pipe extrusion machine,PEX pipe extrusion machine,,,,,,,
18,© کوه رون ته ځي. کوه رونګ ټاپو، کرون پریه سیانکوک، کمبوډیا,"How to Get to Koh Rong (From Sihanoukville, Phnom Penh & More)","© Going to Koh Rong Island, Crown Properties Sihanouk, Cambodia","© Go to Koh Rong Island, Crown Pride Sihanouk, Cambodia",,,,,,,
19,ټیزس ریلی جان 13، 2020 0,They may also have credit card or personal debt.”,"Thesis Relay January 13, 2020 0","Thesis Relay January 13, 2020 0",,,,,,,
20,ښه والی د معلوماتو په زیرمه زيانمن ټولو ډول دوتنې وځلیږي لکه د جدولونو، چارتونه، فورمولونه، تبصرې، انځورونه او داسې نور.,There are two modes of the program i.e. Wizard mode and the Standard mode which makes the program equally usable for all the users and therefore it is highly recommended.,"Improvement reduces the loss of data in all types of files such as tables, charts, formulas, comments, images, etc.","Improvement in the database will eliminate all types of files such as tables, charts, formulas, comments, images and so on.",,,,,,,
21,له کوره د کرزي د تېښتې اوازه هم خپره شوې ده او ویل کېږي، چې له کوره وتلی دی او معلومه نه ده، چې چېرته تښتېدلی دی؟,"We try to reduce violence against women in Bamyan, Karima Salek says",The story of Karzai's escape from home has also been published and it is said that he left home and it is not known where he fled.,He said that he has left the house and it is not known where he fled.,,,,,,,
22,د څپې د پسرلي فشار محاسبه,Calculation Of Wave Spring Pressure,Calculation of spring wave pressure,Calculation of wavelength spring pressure,,,,,,,
23,دڅیړنوپایلې اوپه هیوادکې دسرطان ناروغۍ:,Mr Tanha is awarded the first research poster prize.,Research findings and cancer in the country:,The results of the study and cancer in the country:,,,,,,,
24,د FileCatalyst او کارینګ انډول پیژندنه,Understanding the FileCatalyst and Caringo Integration,Identification of FileCatalyst and operating modules,FileCatalyst and Carrying module recognition,,,,,,,
25,2.If د محصول اندازه دي لویو، موږ به تاسو ته يو څه تخفيف ورکړي.,"2.If the product quantities are larger, we will give you a discount.","2.If the product size is larger, we will give you some discount.","2.If the product size is larger, we will give you some discount.",,,,,,,
26,Wood غاړکۍ Rosaries Wood غاړکۍ Rosaries,Wood Necklace Rosaries Wood Necklace Rosaries,Wood ribs Rosaries Wood ribs Rosaries,Wood Brace Rosaries Wood Brace Rosaries,,,,,,,
27,بریښنالیک کیدی شي ډیر وخت وي، خو چوپړ وي!,"Email can be a huge time-suck, but it doesn’t have to be!","E-mail can be time consuming, but time consuming!","Email can be time consuming, but it can be boring!",,,,,,,
28,د وزير اعلیٰ سندهـ بيان په ضد به اېم کیو اېم,Air Chief Marshal Sohail Aman,High-Secretary Sanda's statement against MQM,"In the meantime, we will be discussing the future of the country and the future of Afghanistan.",,,,,,,
29,د نوي کوریا سبک لوله پلیکا، د زړه قلف ...,Stainless Steel Jewelry New Design Pink Bow Bow...,"New Korean style plaka, heart lock ...","New Korean style type plaka, heart lock ...",,,,,,,
30,ب لوی بکس او يا نورو ځانګړو بستې پر غوښتنې امکان هم شته.,B. Big Bag or other special packages are possible on request.,Large boxes or other special cases are also available on request.,There is also the possibility of large boxes or other special cases on request.,,,,,,,
31,فارسی - Resources available in Persian | QCOSS Community Door Skip to main content,د شرکت جوړېدنه | QCOSS Community Door Skip to main content,Persian - Resources available in Persian QCOSS Community Door Skip to main content,QCOSS Community Door Skip to main content,,,,,,,
32,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum اصلي محتوا ته لاړشی,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum Skip to main content,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum go to the original content,felis Sed Nullam efficitur. dapibus felis Curabitur consequat. accumsan adipiscing ipsum go to original content,,,,,,,
33,په مادي توګه د فرعي لیستونو جوړولو لپاره برخه.,Segment manually to create sub-lists.,Physically part to form sub-lists.,Physically part to create sub-lists.,,,,,,,
34,نام :hebat ساعت : 10:14:52 AM تاریخ: 10 دي 1390,Name: Time : 7:21:37 AM Date : 6/2/2009,Name: hebat time: 10:14:52 AM Date: 10 is 1390,Name :hebat Hour : 10:14:52 AM Date: 10 are 1390,,,,,,,
35,د ټولنیزې سولې بهیر د ښځو په مشري د ولایتي کميټو له لارې پلی کیږي,2. promoting mutual respect between men and women.,The social peace process is carried out through provincial committees led by women,The social peace process is implemented through provincial committees led by women,,,,,,,
36,په افغانستان کې لوموړنی اسلامي بانک پرانستل شو,Afghan minerals in the crosshairs of Blackwater's Erik Prince,First Islamic Bank opened in Afghanistan,The first Islamic bank opened in Afghanistan,,,,,,,
37,یوتلست 3B 3 ° E,Forum WeTeK Play on 4PDA,Utilised 3B 3° E,Utopia 3B 3° E,,,,,,,
38,", د جمهوريت د تانزانيا ته","Tanzania, United Republic of 1",", the Republic of Tanzania",", the Republic of Tanzania",,,,,,,
39,USA-Casino-Online.com > د XXUMX وړیا ندی ډیری زیرمه کیونس د Play150Win Casino کې,USA-Casino-Online.com > Giochi Online Gratuiti > 3 Reel Slot 3 Reel Slot,USA-Casino-Online.com > 150 Free No Deposit Deposit at the Play150Win Casino,USA-Casino-Online.com > 150 Free No Deposit Bonus at Play150Win Casino,,,,,,,
40,15 لیترونه د دوړو دوړو ثبوت تحلیل کونکی,15 Liters Double Dust Proof Dispersion Kneader,15 liters of dust dust proof analyzer,15 liters dust dust proof analyzer,,,,,,,
41,پروژه کلينيک سعادت آباد,Supply luminaires of Sabzevaar governorship project,Project Clinic Saadabad,Project Clinic Saadatabad,,,,,,,
42,**** (قانون جزای افغانستان ، ۱۳۵۵) .,America’s public reaction has been as remarkable as the disclosure…for the reaction has been no reaction.,"**** (Afghan Penal Code, 1355).","**** (Afghan Penal Code, 1355).",,,,,,,
43,د کورس نوم: SCJA OCP جاوا SE 7 Programmer د روزنې او تصدیق کورس,Course name: CompTIA Security+ Certification Training,Course name: SCJA OCP Java SE 7 Programmer Training and Certification Course,Course Name: SCJA OCP Java SE 7 Programmer Training and Certification Course,,,,,,,
44,د خصوصی حریم د ساتنی پالیسی د وروستی ځل لپاره د 2010 کال د مارچ په 2 بیا وکتل شوه.,This Privacy Policy was last updated on 2 March 2010.,The Privacy Protection Policy was last revised on 2 March 2010.,The Privacy Protection Policy was last revised on 2 March 2010.,,,,,,,
45,لاس اګاس ، سان جوآن دی لا رمبلا ، ټینریف,"Las Aguas, San Juan de la Rambla , Tenerife","Las Agas, San Juan de la Rambala, and Tenerife","Las Agas, San Juan de la Rambla, Tenerife",,,,,,,
46,"سیټریک اسید - 1,7 ګرام","Citric Acid - 1,7 Gram","Citric acid - 1,7 grams","Citric acid - 1,7 grams",,,,,,,
47,یادونه: دا تفصیلات یواځې حواله ده، هر ډول بدلون د بال مل د تولید محصولات دي.,"Note:This specification is just reference,any changes are subject to the ball mill products.","Note: These details are for reference only, any changes are the product of the ball mill manufacture.","Note: These details are for reference only, any changes to the ball mill are manufactured products.",,,,,,,
48,د نشتوالي توجیه لپاره د بریښناليک ټلیفوني نومبر نومبر 25th، 2018,"Email template to justify an absence November 25th, 2018","E-mail phone call to justify the absence November 25th, 2018","E-mail telephone for justification of absence November 25th, 2018",,,,,,,
49,پاكسان در نمايشگاه بين المللي مواد شوينده و بهداشتي,Paxan cares about family health,Paxsan International Exhibition on Materials and Sanitation,"In the meantime, we are going to have to look at some of the issues that have been discussed in the past.",,,,,,,
50,اعظمي ریسایکل کول ، د پیسو مینځلو ماشینونه.,"Maximum Recycling,Money Making Machines.","Maximum recycling, money laundering machines.","Maximum recycling, money laundering machines.",,,,,,,
