sample_id,_hidden_mapping
22,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
23,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
24,"{""System A"": ""Semantic LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Original LoRA""}"
25,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
26,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
27,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
28,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
29,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
30,"{""System A"": ""Semantic LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Original LoRA""}"
31,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
32,"{""System A"": ""Baseline NLLB"", ""System B"": ""Semantic LoRA"", ""System C"": ""Original LoRA""}"
33,"{""System A"": ""Baseline NLLB"", ""System B"": ""Semantic LoRA"", ""System C"": ""Original LoRA""}"
34,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
35,"{""System A"": ""Semantic LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Original LoRA""}"
36,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
37,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
38,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
39,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
40,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
41,"{""System A"": ""Baseline NLLB"", ""System B"": ""Semantic LoRA"", ""System C"": ""Original LoRA""}"
42,"{""System A"": ""Original LoRA"", ""System B"": ""Baseline NLLB"", ""System C"": ""Semantic LoRA""}"
43,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
44,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
45,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
46,"{""System A"": ""Baseline NLLB"", ""System B"": ""Semantic LoRA"", ""System C"": ""Original LoRA""}"
47,"{""System A"": ""Original LoRA"", ""System B"": ""Semantic LoRA"", ""System C"": ""Baseline NLLB""}"
48,"{""System A"": ""Baseline NLLB"", ""System B"": ""Original LoRA"", ""System C"": ""Semantic LoRA""}"
49,"{""System A"": ""Semantic LoRA"", ""System B"": ""Original LoRA"", ""System C"": ""Baseline NLLB""}"
50,"{""System A"": ""Baseline NLLB"", ""System B"": ""Semantic LoRA"", ""System C"": ""Original LoRA""}"
